game,stage,wk,day,date,time,team1,team2,code1,code2,group1,group2,xg1,xg2,score1,score2,att,venue,winner,extra,shootout,sscore1,sscore2
1,Group A,1,Sun,11/20/22,19:00,Qatar,Ecuador,qa,ec,A,A,0.3,1.2,0,2,"67,372",Al Bayt Stadium,2,0,0,,
2,Group B,1,Mon,11/21/22,16:00,England,IR Iran,eng,ir,B,B,2.1,1.4,6,2,"45,334",Khalifa International Stadium,1,0,0,,
3,Group A,1,Mon,11/21/22,19:00,Senegal,Netherlands,sn,nl,A,A,0.9,0.7,0,2,"41,721",Al Thumama Stadium,2,0,0,,
4,Group B,1,Mon,11/21/22,22:00,United States,Wales,us,wls,B,B,0.8,1.5,1,1,"43,418",Ahmed bin Ali Stadium,0,0,0,,
5,Group C,1,Tue,11/22/22,13:00,Argentina,Saudi Arabia,ar,sa,C,C,2.2,0.1,1,2,"88,012",Lusail Iconic Stadium,2,0,0,,
6,Group D,1,Tue,11/22/22,16:00,Denmark,Tunisia,dk,tn,D,D,1.4,0.9,0,0,"42,925",Education City Stadium,0,0,0,,
7,Group C,1,Tue,11/22/22,19:00,Mexico,Poland,mx,pl,C,C,0.7,0.9,0,0,"39,369",Stadium 974,0,0,0,,
8,Group D,1,Tue,11/22/22,22:00,France,Australia,fr,au,D,D,4,0.5,4,1,"40,875",Al Janoub Stadium,1,0,0,,
9,Group F,1,Wed,11/23/22,13:00,Morocco,Croatia,ma,hr,F,F,0.4,0.5,0,0,"59,407",Al Bayt Stadium,0,0,0,,
10,Group E,1,Wed,11/23/22,16:00,Germany,Japan,de,jp,E,E,3.1,1.5,1,2,"42,608",Khalifa International Stadium,2,0,0,,
11,Group E,1,Wed,11/23/22,19:00,Spain,Costa Rica,es,cr,E,E,3.5,0,7,0,"40,013",Al Thumama Stadium,1,0,0,,
12,Group F,1,Wed,11/23/22,22:00,Belgium,Canada,be,ca,F,F,0.8,2.4,1,0,"40,432",Ahmed bin Ali Stadium,1,0,0,,
13,Group G,1,Thu,11/24/22,13:00,Switzerland,Cameroon,ch,cm,G,G,1.4,0.7,1,0,"39,089",Al Janoub Stadium,1,0,0,,
14,Group H,1,Thu,11/24/22,16:00,Uruguay,South Korea,uy,kr,H,H,0.6,0.6,0,0,"41,663",Education City Stadium,0,0,0,,
15,Group H,1,Thu,11/24/22,19:00,Portugal,Ghana,pt,gh,H,H,2,0.9,3,2,"42,662",Stadium 974,1,0,0,,
