situation,xg,time,atime,plyr_name,country,pos,jersey_no,goal_type,x,y,g,t,h,vid,key,st
penalty,0.79,16,,Enner Valencia,Ecuador,F,13,penalty,0,11.5,1,2,1,0,0,
regular,0.97,31,,Enner Valencia,Ecuador,F,13,regular,0.9,2.8,1,2,2,0,0,
assisted,0.11,35,,Jude Bellingham,England,M,5,regular,2.8,7.9,2,1,1,0,0,
corner,0.03,43,,Bukayo Saka,England,F,7,regular,2,13.9,2,1,2,0,0,
assisted,0.37,45,1,Raheem Sterling,England,M,7,regular,-4,8.1,2,1,3,0,0,
assisted,0.14,62,,Bukayo Saka,England,F,7,regular,-6.1,13.5,2,1,4,0,0,
assisted,0.37,71,,Marcus Rashford,England,M,10,regular,-11.6,9.4,2,1,5,0,0,
assisted,0.65,90,,Jack Grealish,England,F,10,regular,0,7.7,2,1,6,0,0,
assisted,0.12,65,,Mehdi Taremi,IR Iran,F,9,regular,-10.5,10.3,2,2,1,0,0,
penalty,0,90,13,Mehdi Taremi,IR Iran,F,,penalty,,,2,2,2,0,0,
assisted,0.14,84,,Cody Gakpo,Netherlands,F,18,regular,2.2,7.4,3,2,1,0,0,
regular,0.14,90,9,Davy Klaassen,Netherlands,M,14,regular,8.8,10.1,3,2,2,0,0,
assisted,0.41,36,,Timothy Weah,United States,M,22,regular,4,11.8,4,1,1,0,0,
penalty,0.79,82,,Gareth Bale,Wales,F,11,penalty,0,11.5,4,2,1,0,0,
penalty,0.79,9,,Lionel Messi,Argentina,F,10,penalty,0,11.5,5,1,1,0,0,
assisted,0.06,48,,Saleh Al-Shehri,Saudi Arabia,F,11,regular,14.1,11.5,5,2,1,0,0,
regular,0.03,53,,Salem Al-Dawsari,Saudi Arabia,M,29,regular,16.8,16,5,2,2,0,0,
assisted,0.25,9,,Craig Goodwin,Australia,M,23,regular,10.8,5,8,2,1,0,0,
corner,0.18,27,,Adrien Rabiot,France,M,25,regular,-4,8.6,8,1,1,0,0,
assisted,0.8,32,,Olivier Giroud,France,F,9,regular,-0.5,9.4,8,1,2,0,0,
assisted,0.45,68,,Kylian Mbappé,France,F,7,regular,-0.7,4.8,8,1,3,0,0,
assisted,0.38,71,,Olivier Giroud,France,F,9,regular,-1.1,5.4,8,1,4,0,0,
penalty,0.79,33,,İlkay Gündoğan,Germany,M,,penalty,0,11.5,10,1,1,0,0,
regular,0.38,75,,Ritsu Doan,Japan,M,42,regular,-2,7.5,10,2,1,0,0,
assisted,0.09,83,,Takuma Asano,Japan,F,11,regular,-12.9,2.3,10,2,2,0,0,
regular,0.6,11,,Dani Olmo,Spain,M,7,regular,-0.2,7.9,11,1,1,0,0,
